fein,employer_name,lca_count,certified_count,worksite_cities
36-2361282,McDonald's Corporation,20,18,Chicago
13-5565207,KPMG LLP,20,20,Chicago
95-4759720,Mphasis Corporation,19,19,"Chicago,Arlington Heights,Buffalo Grove,CHICAGO,Wheeling"
81-3000418,Ibase Operations Corp.,19,19,Chicago
36-3073579,"CCC Intelligent Solutions, Inc",19,19,"Chicago,Arlington Heights"
77-0059951,"Cisco Systems, Inc.",18,18,Chicago
47-1176261,"Cigniti Technologies, Inc.",18,18,"Chicago,CHICAGO"
36-2170136,Illinois Institute of Technology,18,18,"Chicago,Bedford Park"
31-0841368,U.S. Bank National Association,18,18,"CHICAGO,Chicago"
27-0368233,MOTOROLA MOBILITY LLC,18,18,"Chicago,CHICAGO"
13-5656874,BlueCross and BlueShield Association,18,18,Chicago
94-1649123,Hyatt Corporation,17,16,Chicago
87-1006796,Polar Operations LLC d/b/a IMC Markets,17,17,Chicago
36-4375986,REDMANE TECHNOLOGY LLC,17,16,Chicago
36-3130008,"Svanaco, Inc.",17,17,"DES PLAINES,Des Plaines"
36-2656113,McGaw Medical Center of Northwestern University,17,17,Chicago
98-1441539,Maven Securities US Limited,16,16,Chicago
90-0853791,Kraft Foods Group Brands LLC,16,16,"Chicago,Glenview"
86-2215848,Tecaholic LLC,16,16,"Hanover Park,Hoffman Estates,Palatine,Schaumburg"
46-1341612,"Avant, LLC",16,16,Chicago
36-3305449,The Mount Sinai Community Foundation,16,16,Chicago
36-2060824,Shure Incorporated,16,16,Niles
26-4747495,SBA Acquisition Group,16,15,Franklin Park
20-0873564,SATIN SOLUTIONS LLC,16,16,Chicago
03-0363612,GE HEALTHCARE IITS USA CORPORATION,16,16,"ARLINGTON HEIGHTS,CHICAGO"
36-3873352,Wintrust Financial Corporation,15,15,Rosemont
36-2169147,Advocate Health and Hospitals Corporation,15,14,"Oak Brook,Chicago,Oak Lawn,Park Ridge"
35-0921680,"Crowe, LLP",15,15,Chicago
27-3972658,"CTC Trading Group, LLC",15,15,Chicago
22-3524303,LTIMindtree Limited,15,15,"Chicago,Rolling Meadows,Evanston"
99-2441755,"Saint Francis Hospital - Evanston, LLC",14,14,Evanston
84-4498918,Optiver Services US LLC,14,14,"CHICAGO,Chicago"
76-0759220,"ValueLabs, Inc.",14,14,Chicago
54-1780389,"Capital One Services, LLC",14,14,Chicago
46-1927858,EdvenSoft Solutions LLC,14,13,"Des Plaines,DesPlaines,Chicago,Schaumburg"
36-4303931,"Cyberbridge International, Inc. d/b/a Creospan, Inc.",14,14,"Chicago,,Chicago,Evanston,PALATINE,,Evanston,"
36-2382580,Deere and Company,14,14,Chicago
36-2167048,DePaul University,14,14,Chicago
27-1129195,"Enova Financial Holdings, LLC",14,14,Chicago
