fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
36-1561860,"The Northern Trust Company",75,75,"Chicago,Naperville,Palatine,Elgin,Buffalo Grove,Aurora,Mundelein,Plainfield,Schaumburg,Northbrook,Wheeling,Lombard,Skokie","COOK,DUPAGE,KANE,LAKE,WILL"
46-4958214,"PricewaterhouseCoopers Advisory Services LLC",66,66,"Chicago,Rosemont",COOK
04-2432614,"Boston Consulting Group, Inc.",65,65,Chicago,COOK
86-1065772,"Deloitte Tax LLP",62,62,"Chicago,Gurnee,Naperville,Skokie,Palatine,Wheaton","COOK,LAKE,WILL,DUPAGE"
36-6006541,"Cook County Medical Examiner's Office",55,53,Chicago,COOK
82-0544687,"Amazon.com Services LLC",52,51,"Chicago,MATTESON,CHICAGO,HARVEY,Aurora,Berwyn,Wilmington,JOLIET,CICERO,Channahon,Joliet,Buffalo Grove,Monee,Country Club Hills,MARKHAM,WILMINGTON","COOK,DUPAGE,WILL,LAKE"
36-2174823,"Rush University Medical Center",46,46,Chicago,COOK
36-1115800,"Motorola Solutions, Inc.",43,43,"Carol Stream,Chicago,Naperville,Elgin,Oak Brook,Hoffman Estates,Schaumburg","DUPAGE,COOK,WILL,KANE"
22-3282696,"Tech Mahindra (Americas), Inc.",43,39,"Lisle,Woodridge,LISLE,AURORA,Riverwoods","DUPAGE,WILL,LAKE"
58-2137105,"COMPUNNEL SOFTWARE GROUP, INC",42,42,"CHICAGO,Chicago,Hoffman Estates,Schaumburg,SCHAUMBURG,Buffalo Grove,Riverwoods,Vernon Hills,Bolingbrook,GROVE,Lisle,Rosemont,Northbrook,DEERFIELD","COOK,LAKE,WILL,DUPAGE"
98-0154401,"WIPRO LIMITED",41,41,"Chicago,Rosemont,Schaumburg,Northbrook,Abbott park,Skokie,Naperville,Riverwoods,Grayslake,Canfield,Aurora,Abbott Park,Waukegan,Deerfield","COOK,LAKE,DUPAGE"
36-3249852,"ZS Associates, Inc.",41,40,"Evanston,Chicago",COOK
37-0602744,"Caterpillar Inc.",40,39,"Chicago,CHICAGO,MCCOOK,MONTGOMERY","COOK,KANE"
36-4233459,"Zurich American Insurance Company",40,39,"Schaumburg,Naperville,Aurora,Chicago","COOK,DUPAGE"
13-3891517,"Deloitte & Touche LLP",40,38,"Chicago,Naperville,Aurora,Des Plaines,Streamwood,Schaumburg","COOK,DUPAGE"
45-5601289,"SKILLTUNE TECHNOLOGIES INC",38,38,"Chicago,Downers Grove,North Chicago,Aurora,Schaumburg","COOK,DUPAGE,LAKE"
36-0902380,"Chicago Mercantile Exchange, Inc.",38,37,Chicago,COOK
77-0510487,"PayPal, Inc.",37,37,Chicago,COOK
91-1996083,"Expedia, Inc.",36,36,Chicago,COOK
77-0205035,"HCL AMERICA INC",34,33,"Downers Grove,Riverwoods,Bannockburn,Waukegan,Bolingbrook,Hoffman Estates,North Chicago,Rolling Meadows,Rosemont,Deerfield,Round Lake,Burr Ridge,Chicago,Naperville,Deer Park","DUPAGE,LAKE,WILL,COOK"
95-3382344,"Caremark LLC",32,32,"Chicago,Naperville,Buffalo Grove,Hoffman Estates,Barrington,Des Plaines,Northbrook,Lombard","COOK,WILL,LAKE,DUPAGE"
91-1144442,"Microsoft Corporation",32,32,"Schaumburg,Downers Grove,Chicago,Naperville,Elk Grove Village,Round Lake Beach,Northlake","COOK,DUPAGE,WILL,LAKE"
36-6005821,"Chicago Public Schools",32,31,Chicago,COOK
36-3152959,"Northwestern Memorial Healthcare",32,32,"Chicago,Buffalo Grove,Wheaton,Batavia,Lake Forest,McHenry,Naperville","COOK,LAKE,DUPAGE,KANE,MCHENRY,WILL"
20-4938068,"Amazon Web Services, Inc.",32,32,"Chicago,CHICAGO,South Elgin,elk grove village,Wheaton,Naperville,Aurora","COOK,KANE,DUPAGE,WILL"
98-0347939,"SLK AMERICA INC",30,30,Chicago,COOK
36-0698440,"Abbott Laboratories",30,30,"Abbott Park,CHICAGO,Waukegan,ABBOTT PARK,LAKE FOREST,Lake Forest,Lake Bluff,WAUKEGAN,Chicago,Buffalo Grove","LAKE,COOK"
35-2618445,"TheMathCompany, Inc.",30,30,"Chicago,chicago",COOK
36-4386212,"Egen Solutions LLC",29,29,"NAPERVILLE,Naperville",DUPAGE
36-2756407,"The Options Clearing Corporation",29,27,"Chicago,Rolling Meadows",COOK
36-1408475,"Loyola University Chicago",29,29,"Maywood,Chicago",COOK
36-1236610,"HEALTH CARE SERVICE CORPORATION",29,28,"Chicago,CHICAGO,Waukegan,AURORA,ARLINGTON HEIGHTS","COOK,LAKE,DUPAGE"
22-3301374,"Hexaware Technologies, Inc.",29,29,"Chicago,Lake Forest,Aurora","COOK,LAKE,DUPAGE"
86-2920608,"RESILIENCE HEALTHCARE CHICAGO GRADUATE EDUCATION FOUNDATION",28,28,"OAK PARK",COOK
57-1239010,"Fermi Research Alliance, LLC",28,28,"Batavia,BATAVIA",DUPAGE
47-4903308,"Tempus AI",28,28,Chicago,COOK
47-2854229,"NEOSIS IT SOLUTIONS LLC",28,26,"Rolling Meadows,Hanover Park",COOK
95-4759720,"Mphasis Corporation",27,27,"Chicago,Naperville,Arlington Heights,Buffalo Grove,CHICAGO,Plainfield,Wheeling,Aurora","COOK,DUPAGE,WILL"
32-0353368,"Grainger Management LLC",27,27,"Lake Forest,Chicago","LAKE,COOK"
36-4262739,"TransUnion LLC",26,26,Chicago,COOK
27-4213219,"Akuna Capital, LLC",26,26,Chicago,COOK
13-3796161,"McKinsey & Company, Inc. United States",26,26,Chicago,COOK
81-4724391,"ZLLIUS INC",24,24,"Bloomingdale,Hoffman Estates","DUPAGE,COOK"
75-2608565,"A.T. Kearney, Inc.",24,24,"Chicago,Aurora,Vernon Hills","COOK,DUPAGE,LAKE"
36-3488183,"University of Chicago Medical Center",24,23,"Chicago,Evanston",COOK
94-3320693,"Salesforce, Inc.",23,22,"Aurora,Schaumburg,Chicago,Bridgeview,Elk Grove Village,Fox River Grove,Naperville,Indian Creek,Vernon Hills,Bolingbrook","WILL,COOK,DUPAGE,LAKE"
88-4307400,"Aspire Systems Digital Transformation Inc",23,20,"OAK BROOK,CHICAGO,Schaumburg,Oak Brook","DUPAGE,COOK"
76-0433811,"CNH Industrial America LLC",23,23,"Oak Brook,Lombard,Plainfield,Burr Ridge","DUPAGE,WILL"
36-4331072,"DRW Holdings, LLC",23,23,Chicago,COOK
35-2145715,"Elevance Health, Inc.",23,22,"Chicago,CHICAGO",COOK
22-3524303,"LTIMindtree Limited",23,23,"Chicago,Rolling Meadows,Lisle,Evanston,Naperville,Aurora","COOK,DUPAGE"
81-3000418,"Ibase Operations Corp.",22,22,"Deer Park,Chicago,Aurora,Naperville","LAKE,COOK,DUPAGE"
36-3297908,"Morningstar, Inc.",22,22,Chicago,COOK
36-1150280,"W.W. Grainger, Inc.",22,22,"Lake Forest",LAKE
33-2862815,"Teknocrux LLC",22,22,"Wood Dale,Wood Dale",DUPAGE
27-4222275,"Beyond Finance, LLC",22,22,"Chicago,Buffalo Grove","COOK,LAKE"
26-4747495,"SBA Acquisition Group",22,21,"Franklin Park,St. Charles","COOK,DUPAGE"
26-1539797,"UST Global Inc",22,22,"LISLE,CHICAGO,NAPERVILLE,PLAINFIELD,SCHAUMBURG","DUPAGE,COOK,WILL"
01-0666453,"Huron Consulting Services, LLC",22,22,Chicago,COOK
36-4366168,"IMC Americas, Inc.",21,21,Chicago,COOK
36-4278759,"Vistex, Inc.",21,21,"Hoffman Estates",COOK
36-3073579,"CCC Intelligent Solutions, Inc",21,21,"Naperville,Chicago,Arlington Heights,Lombard","DUPAGE,COOK"
36-2361282,"McDonald's Corporation",21,19,"Chicago,Naperville","COOK,WILL"
31-0841368,"U.S. Bank National Association",21,21,"CHICAGO,Chicago,Kildeer,Aurora,NAPERVILLE","COOK,LAKE,DUPAGE"
20-0873564,"SATIN SOLUTIONS LLC",21,21,"Chicago,WAUKEGAN,Waukegan","COOK,LAKE"
94-1687665,"BANK OF AMERICA N.A.",20,20,"Chicago,CHICAGO",COOK
91-0675641,"Milliman, Inc.",20,19,Chicago,COOK
86-2215848,"Tecaholic LLC",20,20,"Hanover Park,Hoffman Estates,Palatine,Schaumburg,Aurora,Wheeling,Plainfield","COOK,DUPAGE,LAKE,WILL"
77-0059951,"Cisco Systems, Inc.",20,20,"Chicago,Naperville","COOK,DUPAGE,LAKE"
36-2448028,"JACKSON PARK HOSPITAL FOUNDATION",20,20,CHICAGO,COOK
13-5565207,"KPMG LLP",20,20,Chicago,COOK
36-2170136,"Illinois Institute of Technology",19,19,"Chicago,Bedford Park,Lemont","COOK,DUPAGE"
36-1264810,"International Motors, LLC",19,18,Lisle,DUPAGE
20-8603306,"AmeriCloud Solutions, Inc.",19,19,"Aurora,Chicago,Buffalo Grove,Schaumburg,Riverwoods","DUPAGE,COOK,LAKE"
92-0290913,"Grainger Corporate Services LLC",18,17,"Lake Forest,Chicago","LAKE,COOK"
47-1176261,"Cigniti Technologies, Inc.",18,18,"Chicago,CHICAGO",COOK
46-1994192,"Mygo Consulting Inc.",18,18,"Naperville,Riverwoods,Elgin","DUPAGE,LAKE,KANE"
36-2369491,"Molex, LLC",18,18,"Lisle,Chicago,Bolingbrook","DUPAGE,COOK,WILL"
27-0368233,"MOTOROLA MOBILITY LLC",18,18,"Chicago,CHICAGO",COOK
20-1540090,"Wi-Tronix, LLC",18,18,Bolingbrook,WILL
13-5656874,"BlueCross and BlueShield Association",18,18,Chicago,COOK
06-0953094,"The Chamberlain Group, LLC",18,17,"Oak Brook,Buffalo Grove,Elmhurst","DUPAGE,LAKE"
94-1649123,"Hyatt Corporation",17,16,Chicago,COOK
87-1006796,"Polar Operations LLC d/b/a IMC Markets",17,17,Chicago,COOK
51-0020270,"Discover Bank",17,17,Riverwoods,LAKE
36-4375986,"REDMANE TECHNOLOGY LLC",17,16,Chicago,COOK
36-3130008,"Svanaco, Inc.",17,17,"DES PLAINES,Des Plaines",COOK
36-2656113,"McGaw Medical Center of Northwestern University",17,17,Chicago,COOK
36-1924025,"Walgreen Co.",17,16,"Deerfield,Chicago,Berwyn,Waukegan","LAKE,COOK"
98-1441539,"Maven Securities US Limited",16,16,Chicago,COOK
90-0853791,"Kraft Foods Group Brands LLC",16,16,"Chicago,Glenview",COOK
81-2554276,"Parinama LLC",16,12,"Oak Brook",DUPAGE
46-1341612,"Avant, LLC",16,16,Chicago,COOK
46-1142752,"Ulta, Inc.",16,16,Bolingbrook,WILL
36-3305449,"The Mount Sinai Community Foundation",16,16,Chicago,COOK
36-2169147,"Advocate Health and Hospitals Corporation",16,15,"Oak Brook,Chicago,Oak Lawn,Park Ridge,Gurnee","COOK,LAKE"
36-2060824,"Shure Incorporated",16,16,Niles,COOK
03-0363612,"GE HEALTHCARE IITS USA CORPORATION",16,16,"ARLINGTON HEIGHTS,CHICAGO",COOK
94-2805249,"Oracle America, Inc.",15,15,"Deerfield,Chicago,Glen Ellyn,Lombard","COOK,DUPAGE"
36-4303931,"Cyberbridge International, Inc. d/b/a Creospan, Inc.",15,15,"Chicago,,Chicago,Evanston,PALATINE,,Evanston,,Buffalo Grove,","COOK,LAKE"
36-4020792,"DFS Services LLC",15,15,Riverwoods,LAKE
36-3873352,"Wintrust Financial Corporation",15,15,Rosemont,COOK
36-3556041,"SAP America, Inc.",15,15,"Naperville,Chicago","DUPAGE,COOK"
35-0921680,"Crowe, LLP",15,15,Chicago,COOK
27-3972658,"CTC Trading Group, LLC",15,15,Chicago,COOK
26-3754942,"ICE CLEAR CREDIT LLC",15,15,"Hoffman Estates,Chicago,Aurora,CHICAGO,Schaumburg,Mount Prospect","COOK,DUPAGE"
22-3658826,"Genpact LLC",15,15,"Buffalo Grove,Hoffman Estates,Woodridge,Palatine,Chicago","LAKE,COOK,DUPAGE"
05-0340626,"CVS Pharmacy Inc.",15,15,"Buffalo Grove,Naperville","LAKE,DUPAGE"
04-3708063,"ROYAL CYBER INC",15,14,"NAPERVILLE,CHICAGO","DUPAGE,COOK"
99-3508149,"SUMERU TECHNOLOGIES LLC",14,14,"Elgin,Lisle,Lilse","KANE,DUPAGE"
99-2441755,"Saint Francis Hospital - Evanston, LLC",14,14,Evanston,COOK
84-4498918,"Optiver Services US LLC",14,14,"CHICAGO,Chicago",COOK
76-0759220,"ValueLabs, Inc.",14,14,Chicago,COOK
54-1986789,"GlobalLogic Inc.",14,14,"Deerfield,Chicago,Arlington Heights","LAKE,COOK"
54-1780389,"Capital One Services, LLC",14,14,Chicago,COOK
46-1927858,"EdvenSoft Solutions LLC",14,13,"Des Plaines,DesPlaines,Chicago,Schaumburg",COOK
36-4007085,"Hub Group, Inc.",14,14,"Oakbrook,Oak Brook",DUPAGE
36-2382580,"Deere and Company",14,14,Chicago,COOK
36-2167048,"DePaul University",14,14,Chicago,COOK
35-2331387,"Excellerate Education Solutions Inc dba Excellerate Consulting",14,14,"East Dundee",KANE
27-1129195,"Enova Financial Holdings, LLC",14,14,Chicago,COOK
26-1328194,"Grubhub Holdings, Inc.",14,14,Chicago,COOK
99-2848079,"CVS Shared Services Resources LLC",13,13,"Evanston,Aurora,Libertyville,Buffalo Grove,Glenview,Mundelein,Hoffman Estates,Roselle,Chicago","COOK,DUPAGE,LAKE"
87-4603400,"ROBOT INSIGHT TECHNOLOGIES",13,13,"ROLLING MEADOWS",COOK
87-3917386,"HGX CX Technologies, Inc.",13,13,"Palatine,Chicago,Warrenville","COOK,DUPAGE"
83-2068096,"BENEFICIAL TECH SERVICES, INC",13,13,"WEST CHICAGO,NAPERVILLE,CHICAGO,LINCOLNWOOD","DUPAGE,COOK"
61-1989765,"Wavicle Data Solutions, LLC",13,13,"Oak Brook",DUPAGE
46-3867964,"GANNU SOFTWARE INC",13,13,"PALATINE,SCHAUMBURG,SCHUAMBURG",COOK
46-1314839,"Radix Trading, LLC",13,13,Chicago,COOK
36-6001019,"Federal Home Loan Bank Chicago",13,13,Chicago,COOK
36-3722148,"CIBC Bank USA",13,13,Chicago,COOK
36-3660804,"North Chicago Community Unit School District 187",13,13,"North Chicago,Great Lakes",LAKE
36-2170833,"Ann & Robert H. Lurie Children's Hospital of Chicago",13,13,Chicago,COOK
