fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
47-1020349,"RDI, Inc.",3,3,Chicago,COOK
46-5762987,"Blinkfire Analytics, Inc.",3,3,Chicago,COOK
46-5666023,"ShipBob, Inc.",3,3,"Plainfield,Hoffman Estates",COOK
46-5436817,"Disbelief LLC",3,3,Chicago,COOK
46-5407780,"Globus Express LLC",3,1,Westmont,DUPAGE
46-3985383,"COLLECTIVEHEALTH, INC.",3,3,Chicago,COOK
46-3796763,"SIA Global Solutions LLC",3,3,Schaumburg,COOK
46-3646807,"Nanhua USA LLC",3,3,Chicago,COOK
46-3558233,"NOVO PROSO INC",3,3,Chicago,COOK
46-3546341,"Asoft Consulting LLC",3,3,"Chicago,CHICAGO",COOK
46-3062890,"VusionGroup  Incorporated",3,3,Chicago,COOK
46-3043362,"Relish Labs LLC",3,3,Chicago,COOK
46-2977676,"Concord Systems USA INC",3,3,"Naperville,Des Plaines","WILL,COOK"
46-2775637,"Aline International LLC",3,3,"MOKENA IL,MOKENA,Mokena",WILL
46-2680544,"SYNMETA LLC",3,3,Chicago,COOK
46-2158838,"Wargaming (USA), Inc.",3,3,Chicago,COOK
46-1807073,"HYR GLOBAL SOURCE INC",3,3,"HOFFMAN ESTATES,CHICAGO,WAUKEGAN","COOK,LAKE"
46-1255133,"Savvy Info Systems Inc",3,3,"Schaumburg,SCHAUMBURG",COOK
46-1229393,"Kanap Systems LLC",3,3,"Deerfield,Chicago","LAKE,COOK"
46-1159444,"CaptionCall, LLC",3,3,"Vernon Hills",LAKE
46-1111888,"Classroom Support Services LLC",3,3,Schaumburg,COOK
46-1014055,"Hengli America Corporation",3,3,Bolingbrook,"COOK,DUPAGE"
46-0854153,"Validation Associates LLC",3,3,"North Chicago",LAKE
46-0826899,"Pathstone Partners LLC",3,3,Chicago,COOK
46-0628058,"LAW OFFICES OF METIN SERBEST PLLC",3,3,"DES PLAINES,CHICAGO",COOK
46-0523964,"exp U.S. Services Inc.",3,3,Chicago,COOK
45-5636447,"Dexian, LLC",3,2,Chicago,COOK
45-5488835,"SRK Systems Inc",3,3,Chicago,COOK
45-5413534,"Affirm, Inc.",3,3,Chicago,COOK
45-5389351,"Northside Center for Relationship Counseling, P.C.",3,3,Chicago,COOK
45-4440021,"Living With Power Ministries",3,1,"Arlington Heights,Wheeling",COOK
45-3852041,"AKNISH TECHNOLOGIES CORPORATION",3,3,Lisle,DUPAGE
45-3071590,"Logic Loops, LLC",3,2,Schaumburg,COOK
42-1749823,"Amazon Advertising LLC",3,3,"CHICAGO,Chicago",COOK
41-0882483,"Ryan Companies US, Inc.",3,3,"Chicago,Westmont","COOK,DUPAGE"
41-0793183,"Medtronic, Inc.",3,3,"Mundelein,Chicago","LAKE,COOK"
39-6037917,"Robert W. Baird & Co. Incorporated",3,3,Chicago,COOK
39-0859910,"Baker Tilly US, LLP",3,3,Chicago,COOK
38-4238811,"Nature's Fynd LLC",3,3,Chicago,COOK
38-4055835,"QUANTUM TECHNOLOGIES LLC",3,2,"ELK GROVE VILLAGE,OAK BROOK","COOK,DUPAGE"
38-3955862,"Pacific Asiana LLC",3,3,Chicago,COOK
38-3316472,"Millennium Software, Inc.",3,3,"Chicago,Naperville","COOK,DUPAGE"
38-2645558,"Harley Ellis Devereaux Corporation",3,2,"Chicago,CHICAGO",COOK
38-2247428,"SmithGroup, Inc., subsidiary of SmithGroup Co., Inc.",3,2,Chicago,COOK
36-6066772,"Alliant Credit Union",3,3,Chicago,COOK
36-6005820,"City of Chicago",3,3,Chicago,COOK
36-6004261,"Community Consolidated School District 15",3,3,"Palatine,Rolling Meadows",COOK
36-4526722,"Midwest Asian Health Association",3,3,Chicago,COOK
36-4382177,"Core-Mark US, LLC",3,3,"Naperville,Carol Stream",DUPAGE
36-4316363,"Knowles Electronics, LLC",3,3,Itasca,DUPAGE
36-4227403,"Paylocity Corporation",3,3,"Bolingbrook,Naperville,Schaumburg","DUPAGE,COOK"
36-4226928,"AdvanSoft International Inc",3,3,"Chicago,Vernon Hills","COOK,LAKE"
36-4141862,"Pegasus Knowledge Solutions, Inc.",3,3,"CHICAGO,Chicago",COOK
36-4035882,"Autumn Construction Services, Inc.",3,3,"Chicago,Lombard","COOK,DUPAGE"
36-3953691,"Computhink, Inc.",3,3,Lombard,DUPAGE
36-3842292,"International Bank of Chicago",3,3,Bellwood,COOK
36-3803405,"ABBOTT MOLECULAR INC.",3,3,"DES PLAINES,Des Plaines",COOK
36-3642294,"US Foods, Inc.",3,3,Rosemont,COOK
36-3640402,"Stericycle, Inc.",3,2,Chicago,COOK
36-3606666,"Civiltech Engineering, Inc.",3,2,"Chicago,Itasca","COOK,DUPAGE"
36-3581634,"Canino Electric Co.",3,3,Westmont,DUPAGE
36-3565805,"FLO-TECH MECHANICAL SYSTEMS INC",3,3,ADDISON,DUPAGE
36-3349547,"RNA CORPORATION",3,3,"Blue Island,BLUE ISLAND",COOK
36-3193649,"Islamic Food and Nutrition Council of America",3,3,"Des Plaines,Desplaines",COOK
36-3168081,"Sikich LLC",3,3,Naperville,COOK
36-3150143,"Adtalem Global Education Inc.",3,3,Chicago,COOK
36-3130851,"Large & Associates, LTD",3,2,Chicago,COOK
36-3097297,"Northwestern Medical Faculty Foundation",3,3,Chicago,COOK
36-3088628,"Erie Family Health Center, Inc.",3,3,"Waukegan,Chicago","LAKE,COOK"
36-3008203,"RCF Economic & Financial Consulting, Inc.",3,3,Chicago,COOK
36-2822116,"Videojet Technologies, Inc.",3,3,"Wood Dale",DUPAGE
36-2786846,"Panasonic Corporation of North America (PNA)",3,3,"Hoffman Estates",COOK
36-2781597,"Special Education Services",3,3,"North Aurora,Chicago","KANE,COOK"
36-2723084,"GAINSystems LLC",3,3,Chicago,COOK
36-2679016,"Woodstock Community Unit School District 200",3,2,Woodstock,MCHENRY
36-2643058,"SOLOMON CORDWELL BUENZ",3,3,CHICAGO,COOK
36-2639378,"Yaskawa America, Inc.",3,3,"Buffalo Grove,Waukegan",LAKE
36-2584799,"Lutheran Social Services of Illinois",3,3,Chicago,COOK
36-2511838,"RUPRECHT COMPANY",3,3,Mundelein,LAKE
36-2195077,"Federal Reserve Bank of Chicago",3,3,Chicago,COOK
36-2167770,"LAKE FOREST COLLEGE",3,3,"LAKE FOREST,Lake Forest",LAKE
36-2144820,"Ada S. McKinley Community Services, Inc",3,3,Chicago,COOK
36-1716180,"Rust-Oleum Corporation",3,3,"Vernon Hills",LAKE
36-1509000,"Mount Sinai Hospital  Medical Center of Chicago",3,3,Chicago,COOK
36-0719665,"Allstate Insurance Company",3,3,"Elgin,Chicago,Carol Stream","KANE,COOK,DUPAGE"
35-6002041,"Purdue University",3,2,Batavia,KANE
35-2637418,"WEISS MEMORIAL HOSPITAL, LLC.",3,3,CHICAGO,COOK
35-2546417,"Zurich Services US LLC",3,3,Schaumburg,COOK
35-2185639,"Nest Builders, Inc.",3,3,Chicago,COOK
35-1646289,"Press Ganey Associates LLC",3,2,"Aurora,Plainfield","DUPAGE,WILL"
35-0868188,"University of Notre Dame du Lac",3,3,Chicago,COOK
35-0225010,"CTS Corporation",3,3,Lisle,DUPAGE
34-2025396,"FTI, LLC",3,3,Chicago,COOK
34-1710051,"Mitsubishi Logisnext Americas, Inc.",3,3,Marengo,MCHENRY
33-3709623,"CohnReznick Advisory LLC",3,2,Chicago,COOK
33-3025982,"COGNIT AI INC",3,3,"Schaumburg,Bolingbrook","COOK,WILL"
33-2404999,"KLASS ZZONE LLC",3,0,"Calumet Park",COOK
33-1830988,"Dental 360 Smiles, LLC",3,3,Chicago,COOK
33-0796904,"Accurate Background, LLC",3,3,"Des Plaines,Deerfield,Schaumburg",COOK
33-0740312,"Birlasoft Computer Corporation",3,3,Mundelein,"LAKE,COOK"
33-0593327,"Calsoft Systems",3,3,Schaumburg,COOK
32-0549679,"MMR CONSULTING USA INC",3,3,"Orland Park,ORLAND PARK",COOK
32-0375312,"Laksan Technologies LLC",3,3,Schaumburg,COOK
32-0115907,"Esperanza Health Centers",3,3,Chicago,COOK
31-1343192,"Experian Information Solutions Inc.",3,3,"Schaumburg,Schaumberg",COOK
30-1297673,"Enora Global Fund (US), LP",3,1,Chicago,COOK
30-1005380,"StackAdapt US Inc.",3,3,Chicago,COOK
30-0867324,"HaskoningDHV USA Inc.",3,3,Evanston,COOK
30-0226524,"Quadrant Technologies LLC",3,3,"Lisle,Chicago,Aurora","DUPAGE,COOK"
27-5031452,"TURBOdesign Technology, Inc.",3,2,Chicago,COOK
27-3622467,"SPK TEHNOLOGIES INC",3,3,SCHAUMBURG,COOK
27-3611702,"INTELLILINK TECHNOLOGIES, INC.",3,3,"SCHAUMBURG,CHICAGO",COOK
27-3455385,"Shoolin Inc",3,3,"Aurora,Downers Grove,CHICAGO","KANE,DUPAGE,COOK"
27-2949464,"3S BUSINESS CORPORATION",3,3,"CHICAGO,SKOKIE,Chicago",COOK
27-1661214,"Sound Physicians of Illinois, LLC",3,3,"Olympia Fields",COOK
27-1197421,"The Bowa Group, Inc.",3,3,Chicago,COOK
27-1061911,"Opportunity Financial, LLC",3,3,Chicago,COOK
27-0148690,"Aimtron Corporation",3,3,"Palatine,PALATINE",COOK
26-4265644,"Moreback CPA LLC",3,3,Chicago,COOK
26-3999357,"C3.ai, Inc.",3,3,Chicago,COOK
26-3740348,"Standard & Poor's Financial Services LLC",3,3,"Chicago,Hoffman Estates",COOK
26-3014097,"KDM Engineering, PLLC",3,3,Chicago,COOK
26-2543435,"ONLY IT CONSULTING LLC",3,3,"HOFFMAN ESTATES,WARRENVILLE","COOK,DUPAGE"
26-1862764,"Sainar Solutions Inc",3,3,"Naperville,Chicago","DUPAGE,COOK"
26-1844819,"Astellas Pharma Global Development, Inc.",3,3,Northbrook,COOK
26-1743154,"AKA Comp Solutions, Inc.",3,3,Chicago,COOK
26-1426376,"Intelligroup USA Ltd",3,3,"Evanston,Rosemont,Chicago",COOK
26-0138832,"Dropbox, Inc.",3,3,Chicago,COOK
26-0106960,"PHOTON INFOTECH, INC.",3,3,"CHICAGO,DEERFIELD","COOK,LAKE"
25-1873382,"Mastech Digital Technologies, Inc.",3,3,"NAPERVILLE,CHICAGO","DUPAGE,COOK"
23-2933918,"STV Construction Inc.",3,3,Chicago,COOK
23-1327437,"Wheatland Tube LLC",3,3,Chicago,COOK
22-3793796,"ASTIR IT SOLUTIONS, INC",3,3,"Naperville,Mount Prospect","DUPAGE,COOK"
22-3604017,"Birlasoft Solutions, Inc.",3,3,"Deerfield,Buffalo Grove",LAKE
22-3424909,"Iris Software, Inc",3,3,Chicago,COOK
22-2328344,"The Matlen Silver Group, Inc.",3,3,Chicago,COOK
20-8782096,"Cumming Management Group, Inc.",3,3,"Huntley,Chicago","MCHENRY,COOK"
20-8692101,"Convergent Consulting Inc",3,3,"Mundelein,Arlington Heights,Northfield","LAKE,COOK"
20-8607513,"IQLogg, Inc.",3,3,"North Chicago,Waukegan,Abbott Park",LAKE
20-5991576,"Equity Residential Services, LLC",3,3,Chicago,COOK
20-5947231,"UBS Business Solutions US LLC",3,3,Chicago,COOK
20-5683269,"Golub Capital LLC",3,3,Chicago,COOK
20-4902875,"Kavi Associates, LLC",3,3,Barrington,COOK
20-4391079,"Decision Six Inc",3,3,"Evanston,Chicago",COOK
20-3886536,"9th Dimension LLC",3,3,Chicago,COOK
20-3852321,"Sensirion, Inc.",3,3,Chicago,COOK
20-3835700,"Generic Solutions Inc",3,3,"Chicago,Naperville","COOK,DUPAGE"
20-3328053,"Syndigo LLC",3,2,Chicago,COOK
20-2026659,"Smart Solutions Inc.",3,3,"Arlington Heights,Waukegan","COOK,LAKE"
20-1659855,"Leidos Engineering, LLC",3,3,Chicago,COOK
20-1254193,"Talented IT, Inc.",3,3,"Lisle,Chicago","DUPAGE,COOK"
20-0896096,"CEREBRA CONSULTING INC.",3,3,"NAPERVILLE,DOWNERS GROVE","WILL,DUPAGE"
20-0884419,"E80 Group Inc.",3,3,Chicago,COOK
20-0381928,"Morningstar DBRS",3,3,Chicago,COOK
20-0329221,"Kellogg Business Services Company LLC",3,3,"Naperville,Chicago","DUPAGE,COOK"
20-0300856,"American IT Resource Group, Inc.",3,3,Schaumburg,COOK
13-4249136,"Oak Crest Laboratory Services Inc.",3,3,"Algonquin,ALGONQUIN",MCHENRY
13-4153988,"Markit North America, Inc.",3,3,Chicago,COOK
13-3862191,"Finsoft Consultants, Inc.",3,3,"Vernon Hills,Chicago","LAKE,COOK"
13-2834414,"Mercer (US) LLC",3,3,Chicago,COOK
13-2798343,"CIBC World Markets Corp.",3,3,Chicago,COOK
13-1986759,"STV Incorporated",3,3,Chicago,COOK
11-3670618,"Wells Plumbing and Heating Supplies, Inc.",3,3,Chicago,COOK
06-1364380,"Red Hat, Inc.",3,3,"Chicago,Schaumburg",COOK
04-3626476,"VelocityEHS Inc",3,3,"CHICAGO,Chicago",COOK
04-3327903,"Simon, Kucher & Partners Strategy & Marketing Consultants LLC",3,3,Chicago,COOK
04-2878322,"BAIN & COMPANY, INC.",3,3,"Chicago,CHICAGO",COOK
02-0559348,"TANISHA SYSTEMS INC",3,3,"LISLE,Lisle",DUPAGE
01-0892965,"Cabrera Capital Markets LLC",3,3,Chicago,COOK
01-0825246,"Hendrickson USA, L.L.C.",3,3,Woodridge,DUPAGE
01-0338597,"McCain Foods USA Inc.",3,3,"Oakbrook Terrace",DUPAGE
99-5019532,"BidLabs Inc",2,1,Chicago,COOK
99-4872162,"Traton R&D US LLC",2,1,Lisle,DUPAGE
99-4770677,"Raysoft Global Inc",2,2,Aurora,DUPAGE
99-4590848,"Sky Auto Studio LLC",2,1,Chicago,COOK
99-4558556,"KB Machines US Holdings LLC",2,2,Elgin,KANE
99-4062313,"Algorithmic Research Group, LLC",2,2,Chicago,COOK
99-3808213,"CloudExperts Consulting LLC",2,1,Chicago,COOK
99-3446014,"ORIGINTEK SOLUTIONS LLC",2,2,"Riverwoods,Chicago","LAKE,COOK"
99-2703606,"CORE AI CONSULTING, INC.",2,2,"BUFFALO GROVE",LAKE
99-1874021,"Winded Vertigo LLC",2,2,Chicago,COOK
99-1683313,"UBS Asset Management (Americas) LLC",2,2,Chicago,COOK
99-0909772,"HyperStrong International USA Corp",2,2,Chicago,COOK
99-0613662,"West Line LLC",2,1,"West Chicago,West Chicago, IL",DUPAGE
95-4876363,"Datassential, Inc.",2,2,Chicago,COOK
95-4774688,"Stride, Inc.",2,2,"Chicago,Hampshire","COOK,KANE"
95-3936623,"Bentley Systems, Incorporated",2,2,Chicago,COOK
95-3540776,"Amgen Inc.",2,2,"Deerfield,Naperville","LAKE,WILL"
95-2209675,"Paul Hastings LLP",2,2,Chicago,COOK
95-1492269,"Avery Dennison Corporation",2,2,"Chicago,Mt. Prospect",COOK
94-3260948,"Houlihan Lokey Financial Advisors, Inc.",2,2,Chicago,COOK
94-3250959,"Perforce Software, Inc.",2,2,Elgin,KANE
94-2819853,"Autodesk, Inc.",2,2,Chicago,COOK
94-2257553,"BP America Inc.",2,2,Chicago,COOK
94-1347393,"Wells Fargo Bank, N.A.",2,2,"Hoffman Estates",COOK
93-4962997,"CMR Solutions LLC",2,2,Riverwoods,LAKE
93-4858187,"Park & Associates Professional Company",2,1,Wheeling,COOK
93-3990268,"ArtVidar LLC",2,2,"Elk Grove Village",COOK
93-3667131,"PIXELITCENTER CORPORATION",2,2,Chicago,COOK
93-3499050,"Worldpay, LLC",2,2,Chicago,COOK
93-3397729,"SMART SUPPLY CHAIN CHICAGO INC",2,2,Bolingbrook,WILL
93-2288261,"DATASENSEIT LLC",2,2,Chicago,COOK
93-2230869,"Kent Law Partners LLC",2,1,Palatine,COOK
93-1175674,"Vesta Corporation",2,2,Chicago,COOK
92-3452998,"Heed Inc.",2,2,Chicago,COOK
92-3123304,"SWIFTLINK GLOBAL LOGISTICS INC.",2,1,"LAKE ZURICH",LAKE
92-3101424,"Nile Tech Inc",2,2,SCHAUMBURG,COOK
92-2384071,"Amtech Analytics LLC",2,2,Aurora,WILL
92-1801880,"YelseSoft Technologies Inc.",2,2,"Chicago,Riverwoods","COOK,LAKE"
92-1661672,"Terran Industries LLC",2,1,Lisle,DUPAGE
92-1465400,"Tec Frames LLC",2,2,"Arlington Heights,Schaumburg",COOK
92-1316353,"MANKIND AMERICA LLC",2,2,"Downers Grove,Aurora",DUPAGE
92-1128075,"M1 Health LLC",2,2,"Orland Park",COOK
92-0919727,"Blue Owl Capital Holdings LLC",2,2,Chicago,COOK
92-0866207,"DIGI CLOUD LLC",2,2,"Round Lake,North Chicago",LAKE
92-0777465,"Kuvare Corporate Management, LLC",2,2,Rosemont,COOK
92-0429232,"Cerner Technologies LLC",2,2,CHICAGO,COOK
91-1830835,"Ritchie Bros. Auctioneers (America) Inc.",2,2,Westchester,COOK
91-1223280,"Costco Wholesale Corporation",2,1,Schaumburg,COOK
91-1196408,"Schweitzer Engineering Laboratories, Inc.",2,2,"Hawthorn Woods,Lake Zurich",LAKE
90-0919763,"Cushman & Wakefield Global, Inc.",2,2,Chicago,COOK
90-0855728,"Accenture Infrastructure and Capital Projects, LLC",2,2,Chicago,COOK
90-0807987,"M2P Consulting Inc.",2,2,Chicago,COOK
90-0787471,"GLA GLOBAL COMPANY",2,1,CHICAGO,COOK
90-0775314,"Talon Financial Services LLC",2,1,"Oak Brook",DUPAGE
88-4365930,"Caliber Engineering Solutions LLC",2,2,Chicago,COOK
88-4026873,"Whale Supply LLC",2,2,Northbrook,COOK
88-3834581,"North Hill Distro Inc",2,2,"Wood Dale",DUPAGE
88-3789265,"ARPELS INVESTMENT LLC",2,2,Chicago,COOK
88-3730831,"Opis Renewable Services Inc",2,2,Chicago,COOK
88-3720314,"ThinkNext Software Solutions LLC",2,2,"Rolling Meadows",COOK
88-3537221,"Kennected LLC",2,1,Chicago,COOK
88-3337192,"HEATCORE INC",2,2,Chicago,COOK
88-3244754,"CTRL Therapeutics USA Inc.",2,2,Chicago,COOK
88-3111697,"Rapyuta Robotics, Inc.",2,2,Schaumburg,COOK
88-2971506,"UNIUNI LOGISTICS INC.",2,2,BROADVIEW,COOK
88-2821715,"CLOUD5 SOLUTIONS INC",2,2,"Pingree Grove",KANE
88-2123131,"Genfare LLC",2,2,"Elk Grove,Elk Grove Village",COOK
88-2073402,"LG Commercial LLC",2,2,Chicago,COOK
88-1481843,"S3STAFFINGUSA INC",2,2,LISLE,DUPAGE
88-1194012,"iClanz Inc",2,2,Chicago,COOK
88-0997895,"FiniteTek Inc",2,2,"Deerfield,Lake Forest",LAKE
88-0886885,"Intent Medical Group PLLC",2,2,"Arlington Heights",COOK
88-0861977,"NANO Nuclear Energy Inc.",2,2,"Oak Brook",DUPAGE
88-0627649,"Pog Tech Corp.",2,2,Chicago,COOK
88-0351165,"James Hardie Building Products, Inc.",2,2,Chicago,COOK
87-4739371,"Pacston Corporation",2,2,"Rolling Meadows",COOK
87-4651532,"VERVEWARE, LLC",2,2,Chicago,COOK
87-4286966,"SymTrain, Inc.",2,1,"Chicago,CHICAGO",COOK
87-4172868,"Techster Solutions, Inc",2,2,Riverwoods,LAKE
87-4126448,"4710 Services LLC",2,1,Chicago,COOK
87-4004265,"Allyant Inc.",2,2,Warrenville,DUPAGE
87-3604680,"STAALX LLC",2,2,CHICAGO,COOK
87-3320728,"Maxis Clinical Sciences LLC",2,2,Schaumburg,COOK
87-2687219,"ODP International, LLC",2,2,Wheeling,COOK
87-2510069,"Apex Fintech Services LLC",2,2,Chicago,COOK
87-2301961,"CITADEL ENTERPRISE AMERICAS SERVICES LLC",2,2,Chicago,COOK
87-2126005,"Decision Spot",2,2,Chicago,COOK
87-1929155,"Tarnav LLC",2,2,Naperville,WILL
87-1604653,"Vimtech Corporation",2,2,Chicago,COOK
87-1568254,"ExaTechInfo LLC",2,2,Naperville,DUPAGE
87-1448689,"CogentProc LLC",2,1,Bolingbrook,WILL
87-1103742,"SVT IT INFOTECH INC",2,1,"CHICAGO,Chicago",COOK
87-0817861,"Cargowill LLC",2,1,Romeoville,WILL
87-0789899,"SoftPath Technologies LLC",2,2,"Arlington Heights,Mundelein","COOK,LAKE"
86-3930146,"Technoid9 LLC",2,2,"Oak Brook",DUPAGE
86-3893191,"KORA FINANCIAL INC",2,2,Chicago,COOK
86-3741632,"Prana Life Sciences LLC",2,2,"Lombard,Waukegab","DUPAGE,LAKE"
86-3726529,"Indecor Group, Inc.",2,2,"Morton Grove",COOK
86-3671986,"Coretek Labs LLC",2,2,"Lake Bluff,Abbott Park",LAKE
86-3193490,"Tekaccel Inc",2,2,"Plainfiled,Chicago","WILL,COOK"
86-3131729,"SeedPod Cyber LLC",2,2,Evanston,COOK
86-3030270,"LGL Technologies LLC",2,2,Mundelein,LAKE
86-2653458,"CLOUDSTALL, INC.",2,2,NAPERVILLE,DUPAGE
86-2620086,"BIG HOUSE STUDIO LLC",2,2,CHICAGO,COOK
86-2503355,"Red Tag US LLC",2,2,Chicago,COOK
86-2457447,"Plastfix Inc.",2,1,Elmhurst,DUPAGE
86-2309889,"Waltz Health, Inc.",2,2,Chicago,COOK
86-1941933,"Cloud Nine Tek LLC",2,2,Chicago,COOK
86-1200823,"CITTACORE TECHNOLOGIES INC.",2,2,"NAPERVILLE,LISLE",DUPAGE
85-4087698,"Anuvu Operations LLC",2,2,Lombard,DUPAGE
85-3845710,"Hospitalist Physicians of Illinois, P.C.",2,2,Chicago,COOK
85-3827059,"Law Offices of Ma & Li, P.C.",2,2,Chicago,COOK
85-3798891,"M Digital",2,2,"South Elgin",KANE
85-3332045,"Qubitfy LLC",2,2,Itasca,DUPAGE
85-3021960,"RAPID ANALYTICS INC",2,2,LINCOLNSHIRE,LAKE
85-2910619,"mcSquared AI LLC",2,2,Elgin,COOK
85-2693494,"ePost Global LLC",2,2,Itasca,DUPAGE
85-2601046,"Valarcorp Inc",2,2,Chicago,COOK
85-2233773,"MRA GLOBAL TECH LLC",2,2,CHICAGO,COOK
85-2126856,"Fufeng USA Inc.",2,2,"Oak Brook",DUPAGE
85-2046062,"Middle River Power, LLC",2,2,Chicago,COOK
85-1964610,"GRP Solutions Inc",2,2,deerfield,LAKE
85-1930916,"Atruz Solutions LLC",2,2,"Deerfield,ROSEMONT","LAKE,COOK"
85-1797368,"PINACLE IT CORP LLC",2,2,Oakbrook,DUPAGE
85-1664787,"Apogem Capital LLC (f/k/a New York Life Investment Alternatives LLC)",2,2,Chicago,COOK
85-1428474,"MSR TECHNOLOGY GROUP LLC",2,2,"CHICAGO,WESTCHESTER",COOK
85-1176161,"Argano, LLC",2,2,"Naperville,Chicago","DUPAGE,COOK"
85-1015404,"Prudence, Inc.",2,2,Chicago,COOK
85-0629772,"Gong Cha Americas, Inc.",2,2,Chicago,COOK
85-0596265,"HAUZR HOME SERVICES LLC",2,2,Chicago,COOK
84-4996089,"Element Food Solutions, LLC",2,1,Hodgkins,COOK
84-4913998,"Wavesoft Solutions Inc",2,2,Mettawa,LAKE
84-4849052,"Eclat Solutions LLC",2,2,Aurora,DUPAGE
84-4824992,"Telesto Strategy, LLC",2,2,Chicago,COOK
84-4676803,"Apex Window Werks USA Corp",2,1,Wheeling,COOK
84-4313004,"FORIS DAX, INC.",2,2,CHICAGO,COOK
84-4188530,"SQUAD SOFTWARE, INC.",2,2,CHICAGO,COOK
84-3876052,"CELORIS TECH LLC",2,2,"HOFFMAN ESTATES,LOMBARD","COOK,DUPAGE"
84-3747643,"WM Reply",2,2,Chicago,COOK
84-3741625,"Domain Experts Group LLC",2,2,"Aurora,Wheeling","DUPAGE,COOK"
84-3477158,"BYTE LINK SYSTEMS INC",2,2,CHICAGO,COOK
84-3243702,"Highspring LLC",2,1,"Prospect Heights,Mount Prospect",COOK
84-3241065,"Elogistics (GA) Service Corp.",2,2,"Elk Grove Village",COOK
84-2970838,"SMAC Consultancy LLC",2,2,Deerfield,LAKE
84-2755819,"Happy Le Inc",2,1,"Evanston,evanston",COOK
84-2727369,"DEVOIR SOFTWARE SOLUTIONS LLC",2,2,"LISLE,CHICAGO","DUPAGE,COOK"
84-2710594,"AGILETAL TECHNOLOGIES INC.",2,2,CHICAGO,COOK
84-2526251,"NCIF Management Inc.",2,2,Chicago,COOK
84-2505824,"Script Health PBC",2,2,Chicago,COOK
84-2375823,"Midwestern IT INC",2,2,CHICAGO,COOK
84-2270317,"Proper Consulting Group, LLC",2,2,Chicago,COOK
84-2235842,"FTD, LLC",2,2,Chicago,COOK
84-1757308,"ONEUS Technologies LLC",2,2,Waukegan,LAKE
83-4284670,"ATOS SYNTEL INC",2,2,"Prospect Heights,Chicago",COOK
83-4186036,"Aroma International Inc.",2,2,"Elk Grove Village",COOK
83-4154316,"CATALIS HOLDCO, INC.",2,1,"Glen Ellyn",DUPAGE
83-3894255,"Trugit LLC",2,2,Lisle,DUPAGE
83-3536219,"RCube IT LLC",2,2,Lincolnshire,LAKE
83-3386395,"OpenCloud IT Solutions Inc",2,2,Lisle,DUPAGE
83-3265156,"Flexible Finance, Inc.",2,2,"Glenview,Deerfield","COOK,LAKE"
83-3090819,"Amount, Inc.",2,2,Chicago,COOK
83-2754173,"Monoceros Corporation",2,2,Chicago,COOK
83-2582286,"Whitelight Group Inc.",2,2,Chicago,COOK
83-2569435,"Peoples Tax and Accounting Inc",2,1,Chicago,COOK
83-2368290,"SEW-Tech, Inc.",2,2,"Chicago, IL,Chicago",COOK
83-2263992,"Trail Dogs, LLC",2,2,Chicago,COOK
83-2142977,"NGTalentTech Group LLC",2,2,Chicago,COOK
83-2060026,"Chicago Law Group Ltd.",2,2,Northfield,COOK
83-1741829,"ConData Global, Inc.",2,2,"Oak Brook",DUPAGE
83-1623888,"Empowered Connections Counseling, Inc.",2,2,Chicago,COOK
83-1459361,"Bepharm Scientific Inc",2,2,"Buffalo Grove",LAKE
83-1274185,"C & Y Global Logistics Service LLC",2,2,Aurora,DUPAGE
83-1207531,"ETECH GLOBAL IT SOLUTIONS LLC",2,2,"Skokie,AURORA","COOK,DUPAGE"
83-1173046,"TAG INFORMATION TECHNOLOGY SERVICES LLC.",2,2,NAPERVILLE,DUPAGE
83-1027330,"Scaleneworks People Solutions Inc.",2,2,"Pingree Grove",KANE
83-0849145,"GE PRECISION HEALTHCARE LLC",2,2,"CHICAGO,ARLINGTON HEIGHTS",COOK
83-0847153,"Blue Sky Innovations, Inc.",2,2,"PLAINFIELD,Plainfield",WILL
83-0821972,"INSPYR Solutions, LLC",2,2,Chicago,COOK
83-0784802,"KPIT Technologies, Inc.",2,2,Lisle,DUPAGE
83-0567184,"Volexion Inc",2,2,Evanston,COOK
83-0479224,"Pollux Consultancy Services LLC",2,2,"Palatine,Buffalo Grove","COOK,LAKE"
83-0376192,"Bridgenext Digital Engineering Inc.",2,2,Chicago,COOK
82-4408739,"MAGTECH CONSULTING AND SOLUTIONS DEVELOPMENT CORPORATION",2,2,"ARLINGTON HEIGHTS",COOK
82-4359408,"Evolutio PS, LLC",2,2,Chicago,COOK
82-4195035,"Digitalis Inc",2,2,Naperville,DUPAGE
82-4061819,"The Quaker Project, LLC",2,2,"Glenview,Aurora","COOK,DUPAGE"
82-4024907,"Regal Steel Group Ltd",2,2,"Franklin Park",COOK
82-3777148,"Celesdata Inc.",2,2,Chicago,COOK
82-3642704,"VIRTUOSO INFO SYSTEMS INC",2,2,Lisle,DUPAGE
82-3262544,"LMT Tools USA, L.P.",2,2,Waukegan,LAKE
82-2805257,"Icons Printing and Signs Inc",2,2,Chicago,COOK
82-2765116,"BUDDERFLY, INC",2,2,Chicago,COOK
82-2753972,"Glanbia Performance Nutrition (Manufacturing), Inc.",2,2,"Downers Grove",DUPAGE
82-2706686,"Coates US Inc.",2,2,Chicago,COOK
